epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,2133.65,0.94585,0.61517,1.07308,0.68577,0.39964,0.46359,0.19209,2.10625,2.39523,2.03279,0.0002674,0.0002674,0.0002674
76,2163.79,0.94554,0.62291,1.07497,0.65668,0.40086,0.4692,0.20185,2.08069,2.40678,1.99475,0.0002575,0.0002575,0.0002575
77,2193.71,0.95717,0.62818,1.08202,0.50689,0.47562,0.4593,0.20006,2.10249,2.42982,2.04543,0.0002476,0.0002476,0.0002476
78,2222.72,0.9482,0.62066,1.08232,0.60594,0.40425,0.44483,0.18685,2.11428,2.56504,2.06864,0.0002377,0.0002377,0.0002377
79,2251.52,0.93088,0.59863,1.06464,0.48774,0.47113,0.46229,0.19841,2.10508,2.41219,2.05408,0.0002278,0.0002278,0.0002278
80,2280.26,0.93152,0.60135,1.06378,0.51613,0.48204,0.46974,0.20311,2.08966,2.53697,2.0322,0.0002179,0.0002179,0.0002179
81,2308.41,0.93168,0.60519,1.0649,0.55627,0.4439,0.46168,0.19392,2.0924,2.65054,2.03272,0.000208,0.000208,0.000208
82,2336.77,0.92332,0.59906,1.06564,0.5223,0.4317,0.44628,0.1954,2.05627,2.43539,2.01089,0.0001981,0.0001981,0.0001981
83,2365.59,0.89552,0.58623,1.05535,0.49583,0.46851,0.44755,0.1923,2.07103,2.59618,2.03572,0.0001882,0.0001882,0.0001882
84,2393.47,0.9089,0.5905,1.05605,0.53083,0.48788,0.47237,0.19747,2.0711,2.36722,2.03313,0.0001783,0.0001783,0.0001783
85,2422.13,0.88494,0.56936,1.0415,0.51771,0.45296,0.46755,0.20142,2.08468,2.5077,2.03276,0.0001684,0.0001684,0.0001684
86,2450.34,0.90163,0.57936,1.04492,0.57646,0.44884,0.46875,0.20043,2.07413,2.61072,2.03643,0.0001585,0.0001585,0.0001585
87,2479.22,0.86677,0.55668,1.04402,0.58047,0.40567,0.44568,0.19558,2.09591,2.61128,2.06277,0.0001486,0.0001486,0.0001486
88,2507.7,0.8856,0.57249,1.04577,0.7178,0.38875,0.46116,0.20015,2.10066,2.46535,2.07924,0.0001387,0.0001387,0.0001387
89,2536.24,0.86292,0.55594,1.03087,0.6231,0.41571,0.45849,0.19944,2.08465,2.50229,2.05591,0.0001288,0.0001288,0.0001288
90,2564.86,0.87629,0.56542,1.04034,0.55358,0.44815,0.45517,0.19717,2.07196,2.49512,2.03359,0.0001189,0.0001189,0.0001189
91,2594.74,0.84703,0.51543,1.04281,0.5765,0.41815,0.4204,0.18114,2.08237,2.48758,2.0499,0.000109,0.000109,0.000109
92,2622.55,0.79459,0.46872,1.01725,0.49861,0.46364,0.45026,0.18661,2.11895,2.41759,2.08144,9.91e-05,9.91e-05,9.91e-05
93,2649.84,0.79652,0.46512,1.00522,0.66985,0.4121,0.45287,0.19287,2.09831,2.39839,2.06926,8.92e-05,8.92e-05,8.92e-05
94,2676.76,0.7689,0.44887,1.00043,0.67884,0.40641,0.45677,0.19347,2.09994,2.45714,2.06034,7.93e-05,7.93e-05,7.93e-05
95,2704.1,0.74752,0.4347,0.99225,0.58869,0.41902,0.45192,0.19358,2.10717,2.51044,2.08635,6.94e-05,6.94e-05,6.94e-05
96,2731,0.75104,0.43394,0.99684,0.65617,0.40704,0.45363,0.19491,2.099,2.55958,2.07507,5.95e-05,5.95e-05,5.95e-05
97,2758.51,0.7395,0.42908,0.9901,0.69982,0.39596,0.45609,0.19691,2.09638,2.52161,2.09055,4.96e-05,4.96e-05,4.96e-05
98,2785.8,0.75888,0.43625,1.0004,0.70654,0.39206,0.45042,0.19777,2.08237,2.53263,2.0759,3.97e-05,3.97e-05,3.97e-05
99,2812.23,0.74174,0.44385,0.9895,0.65384,0.39563,0.45082,0.19615,2.09047,2.52602,2.08026,2.98e-05,2.98e-05,2.98e-05
100,2839.99,0.72659,0.41987,0.979,0.57217,0.43177,0.45092,0.19648,2.09186,2.53397,2.08058,1.99e-05,1.99e-05,1.99e-05
